event_id,decision,routed_to,chosen_probability,latency_ms,input_tokens,output_tokens
scale-01-04,HUMAN_REVIEW,events.human_review,1.0,369.14,448,57
scale-01-05,HUMAN_REVIEW,events.human_review,1.0,462.41,452,57
scale-01-06,QUARANTINE,events.quarantine,0.99,367.79,447,56
scale-01-07,QUARANTINE,events.quarantine,0.98,366.95,447,56
scale-02-00,NORMAL,events.normal,1.0,425.46,451,53
scale-02-01,NORMAL,events.normal,0.98,388.17,449,53
scale-02-02,RETRY,events.retry,0.75,390.54,447,54
scale-02-03,RETRY,events.retry,1.0,439.04,450,54
scale-02-04,HUMAN_REVIEW,events.human_review,1.0,378.36,448,57
scale-02-05,HUMAN_REVIEW,events.human_review,1.0,398.56,452,57
scale-02-06,QUARANTINE,events.quarantine,0.99,382.65,447,56
scale-02-07,QUARANTINE,events.quarantine,0.98,387.71,447,56
scale-03-00,NORMAL,events.normal,1.0,460.88,451,53
scale-03-01,NORMAL,events.normal,0.98,365.51,449,53
scale-03-02,RETRY,events.retry,0.77,398.39,447,54
scale-03-03,RETRY,events.retry,1.0,504.55,450,54
scale-03-04,HUMAN_REVIEW,events.human_review,1.0,435.58,448,57
scale-03-05,HUMAN_REVIEW,events.human_review,1.0,362.86,452,57
scale-03-06,QUARANTINE,events.quarantine,0.99,366.75,447,56
scale-03-07,QUARANTINE,events.quarantine,0.98,382.03,447,56
scale-04-00,NORMAL,events.normal,1.0,401.87,451,53
scale-04-01,NORMAL,events.normal,0.98,375.35,449,53
scale-04-02,RETRY,events.retry,0.74,340.9,447,54
scale-04-03,RETRY,events.retry,1.0,457.35,450,54
scale-04-04,HUMAN_REVIEW,events.human_review,1.0,393.92,448,57
scale-04-05,HUMAN_REVIEW,events.human_review,1.0,489.44,452,57
scale-04-06,QUARANTINE,events.quarantine,0.99,413.4,447,56
scale-04-07,QUARANTINE,events.quarantine,0.98,377.94,447,56
scale-05-00,NORMAL,events.normal,1.0,446.05,453,53
scale-05-01,NORMAL,events.normal,0.98,704.29,451,53
scale-05-02,RETRY,events.retry,0.79,353.56,449,54
scale-05-03,RETRY,events.retry,1.0,357.88,452,54
scale-05-04,HUMAN_REVIEW,events.human_review,1.0,417.86,450,57
scale-05-05,HUMAN_REVIEW,events.human_review,1.0,375.94,454,57
scale-05-06,QUARANTINE,events.quarantine,0.99,356.67,449,56
scale-05-07,QUARANTINE,events.quarantine,0.98,408.9,449,56
scale-06-00,NORMAL,events.normal,1.0,420.75,451,53
scale-06-01,NORMAL,events.normal,0.98,380.13,449,53
scale-06-02,RETRY,events.retry,0.79,373.68,447,54
scale-06-03,RETRY,events.retry,1.0,475.88,450,54
scale-06-04,HUMAN_REVIEW,events.human_review,1.0,370.01,448,57
scale-06-05,HUMAN_REVIEW,events.human_review,1.0,337.71,452,57
scale-06-06,QUARANTINE,events.quarantine,0.99,353.34,447,56
scale-06-07,QUARANTINE,events.quarantine,0.98,371.51,447,56
scale-07-00,NORMAL,events.normal,1.0,431.07,451,53
scale-07-01,NORMAL,events.normal,0.98,391.63,449,53
scale-07-02,RETRY,events.retry,0.75,392.38,447,54
scale-07-03,RETRY,events.retry,1.0,476.08,450,54
scale-07-04,HUMAN_REVIEW,events.human_review,1.0,378.09,448,57
scale-07-05,HUMAN_REVIEW,events.human_review,1.0,381.28,452,57
scale-07-06,QUARANTINE,events.quarantine,0.99,377.03,447,56
scale-07-07,QUARANTINE,events.quarantine,0.97,511.52,447,56
scale-08-00,NORMAL,events.normal,1.0,374.84,451,53
scale-08-01,NORMAL,events.normal,0.98,366.16,449,53
scale-08-02,RETRY,events.retry,0.78,390.13,447,54
scale-08-03,RETRY,events.retry,1.0,440.29,450,54
scale-08-04,HUMAN_REVIEW,events.human_review,1.0,337.07,448,57
scale-08-05,HUMAN_REVIEW,events.human_review,1.0,386.35,452,57
scale-08-06,QUARANTINE,events.quarantine,0.99,355.98,447,56
scale-08-07,QUARANTINE,events.quarantine,0.97,347.62,447,56
scale-09-00,NORMAL,events.normal,1.0,334.65,450,53
scale-09-01,NORMAL,events.normal,0.98,393.58,448,53
scale-09-02,RETRY,events.retry,0.79,394.06,446,54
scale-09-03,RETRY,events.retry,1.0,387.84,449,54
scale-09-04,HUMAN_REVIEW,events.human_review,1.0,379.04,447,57
scale-09-05,HUMAN_REVIEW,events.human_review,1.0,464.5,451,57
scale-09-06,QUARANTINE,events.quarantine,0.99,369.42,446,56
scale-09-07,QUARANTINE,events.quarantine,0.98,396.25,446,56
scale-10-00,NORMAL,events.normal,1.0,318.37,451,53
scale-10-01,NORMAL,events.normal,0.98,352.15,449,53
scale-10-02,RETRY,events.retry,0.72,360.3,447,54
scale-10-03,RETRY,events.retry,1.0,385.4,450,54
scale-10-04,HUMAN_REVIEW,events.human_review,1.0,337.39,448,57
scale-10-05,HUMAN_REVIEW,events.human_review,1.0,370.67,452,57
scale-10-06,QUARANTINE,events.quarantine,0.99,384.39,447,56
scale-10-07,QUARANTINE,events.quarantine,0.98,382.76,447,56
scale-11-00,NORMAL,events.normal,1.0,375.66,452,53
scale-11-01,NORMAL,events.normal,0.98,338.23,450,53
scale-11-02,RETRY,events.human_review,0.68,429.13,448,54
scale-11-03,RETRY,events.retry,1.0,464.01,451,54
scale-11-04,HUMAN_REVIEW,events.human_review,1.0,374.6,449,57
scale-11-05,HUMAN_REVIEW,events.human_review,1.0,341.72,453,57
scale-11-06,QUARANTINE,events.quarantine,0.99,354.24,448,56
scale-11-07,QUARANTINE,events.quarantine,0.98,412.16,448,56
scale-12-00,NORMAL,events.normal,1.0,342.84,451,53
scale-12-01,NORMAL,events.normal,0.98,406.67,449,53
scale-12-02,RETRY,events.retry,0.75,382.21,447,54
scale-12-03,RETRY,events.retry,1.0,375.74,450,54
scale-12-04,HUMAN_REVIEW,events.human_review,1.0,394.27,448,57
scale-12-05,HUMAN_REVIEW,events.human_review,1.0,350.28,452,57
scale-12-06,QUARANTINE,events.quarantine,0.99,374.01,447,56
scale-12-07,QUARANTINE,events.quarantine,0.98,431.64,447,56
scale-13-00,NORMAL,events.normal,1.0,348.89,451,53
scale-13-01,NORMAL,events.normal,0.98,403.45,449,53
scale-13-02,RETRY,events.retry,0.78,416.57,447,54
scale-13-03,RETRY,events.retry,1.0,359.6,450,54
scale-13-04,HUMAN_REVIEW,events.human_review,1.0,454.98,448,57
scale-13-05,HUMAN_REVIEW,events.human_review,1.0,391.21,452,57
scale-13-06,QUARANTINE,events.quarantine,0.99,369.79,447,56
scale-13-07,QUARANTINE,events.quarantine,0.97,422.63,447,56
scale-14-00,NORMAL,events.normal,1.0,387.7,451,53
scale-14-01,NORMAL,events.normal,0.98,358.64,449,53
scale-14-02,RETRY,events.retry,0.73,401.3,447,54
scale-14-03,RETRY,events.retry,1.0,407.22,450,54
scale-14-04,HUMAN_REVIEW,events.human_review,1.0,392.94,448,57
scale-14-05,HUMAN_REVIEW,events.human_review,1.0,374.96,452,57
scale-14-06,QUARANTINE,events.quarantine,0.99,424.39,447,56
scale-14-07,QUARANTINE,events.quarantine,0.98,411.34,447,56
scale-15-00,NORMAL,events.normal,1.0,447.36,451,53
scale-15-01,NORMAL,events.normal,0.98,360.42,449,53
scale-15-02,RETRY,events.retry,0.74,499.1,447,54
scale-15-03,RETRY,events.retry,1.0,347.69,450,54
scale-15-04,HUMAN_REVIEW,events.human_review,1.0,480.04,448,57
scale-15-05,HUMAN_REVIEW,events.human_review,1.0,334.81,452,57
scale-15-06,QUARANTINE,events.quarantine,0.99,359.85,447,56
scale-15-07,QUARANTINE,events.quarantine,0.98,421.61,447,56
scale-16-00,NORMAL,events.normal,1.0,387.5,451,53
scale-16-01,NORMAL,events.normal,0.98,401.26,449,53
scale-16-02,RETRY,events.retry,0.77,434.84,447,54
scale-16-03,RETRY,events.retry,1.0,425.92,450,54
scale-16-04,HUMAN_REVIEW,events.human_review,1.0,438.32,448,57
scale-16-05,HUMAN_REVIEW,events.human_review,1.0,345.27,452,57
scale-16-06,QUARANTINE,events.quarantine,0.99,381.62,447,56
